champion_name,role,total_matches,wins,win_rate
Aatrox,MIDDLE,6,2,33.33333333333333
Aatrox,TOP,185,89,48.10810810810811
Ahri,MIDDLE,364,192,52.74725274725275
Ahri,TOP,4,2,50.0
Akali,BOTTOM,2,0,0.0
Akali,MIDDLE,307,152,49.5114006514658
Akali,TOP,72,38,52.77777777777778
Akshan,BOTTOM,5,4,80.0
Akshan,MIDDLE,122,64,52.459016393442624
Akshan,TOP,20,9,45.0
Alistar,TOP,1,1,100.0
Alistar,UTILITY,121,61,50.413223140495866
Amumu,JUNGLE,27,12,44.44444444444444
Amumu,UTILITY,8,6,75.0
Anivia,BOTTOM,4,1,25.0
Anivia,MIDDLE,37,18,48.64864864864865
Anivia,TOP,14,8,57.14285714285714
Annie,MIDDLE,22,12,54.54545454545454
Annie,TOP,5,4,80.0
Annie,UTILITY,3,1,33.33333333333333
Aphelios,BOTTOM,110,52,47.27272727272727
Aphelios,MIDDLE,1,1,100.0
Ashe,BOTTOM,578,289,50.0
Ashe,TOP,1,0,0.0
Ashe,UTILITY,3,2,66.66666666666666
Aurelion Sol,BOTTOM,3,1,33.33333333333333
Aurelion Sol,MIDDLE,7,3,42.857142857142854
Azir,MIDDLE,89,45,50.56179775280899
Azir,TOP,5,3,60.0
Bard,UTILITY,300,167,55.666666666666664
Bel'Veth,JUNGLE,111,53,47.74774774774775
Bel'Veth,MIDDLE,1,1,100.0
Bel'Veth,TOP,1,0,0.0
Blitzcrank,UTILITY,143,85,59.44055944055944
Brand,BOTTOM,25,16,64.0
Brand,JUNGLE,12,1,8.333333333333332
Brand,MIDDLE,9,4,44.44444444444444
Brand,UTILITY,20,9,45.0
Braum,UTILITY,136,61,44.85294117647059
Briar,JUNGLE,1,0,0.0
Caitlyn,BOTTOM,532,262,49.24812030075188
Caitlyn,MIDDLE,1,1,100.0
Caitlyn,UTILITY,1,1,100.0
Camille,TOP,118,58,49.152542372881356
Camille,UTILITY,26,8,30.76923076923077
Cassiopeia,BOTTOM,11,4,36.36363636363637
Cassiopeia,MIDDLE,60,31,51.66666666666667
Cassiopeia,TOP,18,11,61.111111111111114
Cho'Gath,MIDDLE,4,2,50.0
Cho'Gath,TOP,39,27,69.23076923076923
Corki,BOTTOM,686,332,48.39650145772595
Corki,JUNGLE,1,0,0.0
Corki,MIDDLE,142,73,51.40845070422535
Corki,TOP,17,9,52.94117647058824
Corki,UTILITY,1,1,100.0
Darius,JUNGLE,2,1,50.0
Darius,MIDDLE,6,5,83.33333333333334
Darius,TOP,139,67,48.201438848920866
Diana,JUNGLE,70,38,54.285714285714285
Diana,MIDDLE,15,5,33.33333333333333
Dr. Mundo,JUNGLE,17,8,47.05882352941176
Dr. Mundo,MIDDLE,1,0,0.0
Dr. Mundo,TOP,47,19,40.42553191489361
Draven,BOTTOM,307,172,56.02605863192183
Draven,MIDDLE,2,1,50.0
Draven,TOP,5,4,80.0
Draven,UNKNOWN,1,0,0.0
Draven,UTILITY,1,0,0.0
Ekko,BOTTOM,1,1,100.0
Ekko,JUNGLE,20,10,50.0
Ekko,MIDDLE,49,24,48.97959183673469
Ekko,TOP,28,17,60.71428571428571
Ekko,UTILITY,3,2,66.66666666666666
Elise,JUNGLE,215,113,52.55813953488372
Elise,MIDDLE,1,0,0.0
Elise,UTILITY,9,3,33.33333333333333
Evelynn,JUNGLE,7,1,14.285714285714285
Ezreal,BOTTOM,610,314,51.47540983606558
Ezreal,MIDDLE,14,4,28.57142857142857
Fiddlesticks,JUNGLE,24,12,50.0
Fiddlesticks,TOP,35,16,45.714285714285715
Fiora,BOTTOM,34,13,38.23529411764706
Fiora,MIDDLE,3,3,100.0
Fiora,TOP,148,69,46.62162162162162
Fiora,UTILITY,1,0,0.0
Fizz,MIDDLE,70,36,51.42857142857142
Fizz,TOP,4,0,0.0
Galio,BOTTOM,1,0,0.0
Galio,MIDDLE,200,101,50.5
Galio,TOP,20,9,45.0
Galio,UTILITY,26,14,53.84615384615385
Gangplank,MIDDLE,1,1,100.0
Gangplank,TOP,85,49,57.647058823529406
Gangplank,UTILITY,1,0,0.0
Garen,MIDDLE,11,7,63.63636363636363
Garen,TOP,50,21,42.0
Gnar,MIDDLE,1,0,0.0
Gnar,TOP,322,148,45.962732919254655
Gragas,BOTTOM,1,0,0.0
Gragas,JUNGLE,50,22,44.0
Gragas,MIDDLE,33,19,57.57575757575758
Gragas,TOP,256,140,54.6875
Gragas,UTILITY,4,2,50.0
Graves,JUNGLE,447,219,48.99328859060403
Graves,TOP,1,0,0.0
Gwen,BOTTOM,1,1,100.0
Gwen,JUNGLE,22,9,40.909090909090914
Gwen,MIDDLE,18,9,50.0
Gwen,TOP,79,34,43.037974683544306
Hecarim,JUNGLE,183,97,53.00546448087432
Hecarim,UTILITY,1,0,0.0
Heimerdinger,BOTTOM,4,3,75.0
Heimerdinger,MIDDLE,25,11,44.0
Heimerdinger,TOP,54,30,55.55555555555556
Heimerdinger,UTILITY,3,1,33.33333333333333
Illaoi,TOP,10,6,60.0
Irelia,MIDDLE,72,41,56.94444444444444
Irelia,TOP,125,68,54.400000000000006
Ivern,JUNGLE,134,65,48.507462686567166
Ivern,TOP,1,1,100.0
Janna,TOP,2,0,0.0
Janna,UTILITY,233,111,47.63948497854077
Jarvan IV,JUNGLE,157,68,43.31210191082803
Jarvan IV,MIDDLE,1,0,0.0
Jarvan IV,TOP,1,0,0.0
Jarvan IV,UTILITY,3,3,100.0
Jax,JUNGLE,29,15,51.724137931034484
Jax,MIDDLE,7,3,42.857142857142854
Jax,TOP,255,113,44.31372549019608
Jax,UTILITY,3,2,66.66666666666666
Jayce,MIDDLE,59,23,38.983050847457626
Jayce,TOP,179,87,48.60335195530726
Jhin,BOTTOM,350,174,49.714285714285715
Jinx,BOTTOM,415,202,48.674698795180724
K'Sante,BOTTOM,1,1,100.0
K'Sante,MIDDLE,7,3,42.857142857142854
K'Sante,TOP,353,169,47.875354107648725
Kai'Sa,BOTTOM,166,79,47.59036144578313
Kai'Sa,JUNGLE,1,0,0.0
Kai'Sa,MIDDLE,4,2,50.0
Kai'Sa,UTILITY,1,0,0.0
Kalista,BOTTOM,96,52,54.166666666666664
Kalista,MIDDLE,1,0,0.0
Kalista,TOP,4,2,50.0
Kalista,UTILITY,3,1,33.33333333333333
Karma,BOTTOM,1,1,100.0
Karma,MIDDLE,21,14,66.66666666666666
Karma,TOP,12,6,50.0
Karma,UTILITY,227,110,48.458149779735685
Karthus,BOTTOM,59,32,54.23728813559322
Karthus,JUNGLE,133,64,48.1203007518797
Karthus,MIDDLE,5,2,40.0
Karthus,TOP,1,1,100.0
Karthus,UTILITY,4,2,50.0
Kassadin,MIDDLE,70,32,45.714285714285715
Kassadin,TOP,1,1,100.0
Katarina,BOTTOM,4,1,25.0
Katarina,MIDDLE,81,42,51.85185185185185
Katarina,TOP,2,1,50.0
Kayle,MIDDLE,12,8,66.66666666666666
Kayle,TOP,21,11,52.38095238095239
Kayn,JUNGLE,52,24,46.15384615384615
Kayn,MIDDLE,1,0,0.0
Kayn,TOP,1,1,100.0
Kennen,MIDDLE,6,3,50.0
Kennen,TOP,87,44,50.57471264367817
Kennen,UTILITY,1,0,0.0
Kha'Zix,JUNGLE,141,63,44.680851063829785
Kindred,JUNGLE,148,78,52.702702702702695
Kindred,MIDDLE,1,0,0.0
Kindred,TOP,1,0,0.0
Kled,MIDDLE,1,1,100.0
Kled,TOP,38,19,50.0
Kog'Maw,BOTTOM,154,84,54.54545454545454
Kog'Maw,MIDDLE,5,3,60.0
Kog'Maw,TOP,3,2,66.66666666666666
LeBlanc,MIDDLE,140,60,42.857142857142854
LeBlanc,TOP,1,1,100.0
LeBlanc,UTILITY,17,4,23.52941176470588
Lee Sin,BOTTOM,3,1,33.33333333333333
Lee Sin,JUNGLE,248,127,51.20967741935484
Lee Sin,MIDDLE,8,4,50.0
Lee Sin,TOP,15,9,60.0
