champion_name,role,total_matches,wins,win_rate
Aatrox,MIDDLE,3,1,33.33333333333333
Aatrox,TOP,145,72,49.6551724137931
Ahri,MIDDLE,328,168,51.21951219512195
Ahri,TOP,2,1,50.0
Akali,BOTTOM,3,2,66.66666666666666
Akali,MIDDLE,318,163,51.257861635220124
Akali,TOP,44,21,47.72727272727273
Akshan,BOTTOM,4,1,25.0
Akshan,MIDDLE,122,59,48.36065573770492
Akshan,TOP,7,2,28.57142857142857
Alistar,UTILITY,118,57,48.30508474576271
Amumu,JUNGLE,12,5,41.66666666666667
Amumu,UTILITY,4,3,75.0
Anivia,BOTTOM,3,2,66.66666666666666
Anivia,MIDDLE,46,29,63.04347826086957
Anivia,TOP,27,19,70.37037037037037
Anivia,UTILITY,2,1,50.0
Annie,MIDDLE,5,4,80.0
Annie,TOP,5,2,40.0
Aphelios,BOTTOM,76,31,40.78947368421053
Aphelios,TOP,2,2,100.0
Ashe,BOTTOM,590,315,53.38983050847458
Ashe,TOP,6,4,66.66666666666666
Ashe,UTILITY,5,1,20.0
Aurelion Sol,BOTTOM,8,4,50.0
Aurelion Sol,MIDDLE,8,4,50.0
Azir,MIDDLE,91,53,58.24175824175825
Azir,TOP,2,0,0.0
Bard,TOP,1,0,0.0
Bard,UTILITY,265,145,54.71698113207547
Bel'Veth,JUNGLE,126,61,48.41269841269841
Bel'Veth,MIDDLE,2,1,50.0
Bel'Veth,UTILITY,1,0,0.0
Blitzcrank,UTILITY,130,56,43.07692307692308
Brand,BOTTOM,31,12,38.70967741935484
Brand,JUNGLE,10,8,80.0
Brand,MIDDLE,13,2,15.384615384615385
Brand,TOP,1,0,0.0
Brand,UTILITY,12,6,50.0
Braum,UTILITY,188,96,51.06382978723404
Briar,JUNGLE,4,2,50.0
Caitlyn,BOTTOM,555,260,46.846846846846844
Caitlyn,MIDDLE,1,0,0.0
Caitlyn,TOP,5,3,60.0
Camille,TOP,100,40,40.0
Camille,UTILITY,9,6,66.66666666666666
Cassiopeia,BOTTOM,6,2,33.33333333333333
Cassiopeia,MIDDLE,62,32,51.61290322580645
Cassiopeia,TOP,20,7,35.0
Cassiopeia,UTILITY,1,0,0.0
Cho'Gath,BOTTOM,6,3,50.0
Cho'Gath,MIDDLE,6,3,50.0
Cho'Gath,TOP,93,45,48.38709677419355
Cho'Gath,UTILITY,4,3,75.0
Corki,BOTTOM,744,398,53.494623655913976
Corki,MIDDLE,109,56,51.37614678899083
Corki,TOP,16,7,43.75
Corki,UNKNOWN,1,1,100.0
Corki,UTILITY,1,0,0.0
Darius,JUNGLE,1,1,100.0
Darius,MIDDLE,1,1,100.0
Darius,TOP,94,45,47.87234042553192
Diana,JUNGLE,102,49,48.03921568627451
Diana,MIDDLE,26,14,53.84615384615385
Dr. Mundo,JUNGLE,33,14,42.42424242424242
Dr. Mundo,TOP,65,34,52.307692307692314
Draven,BOTTOM,257,136,52.918287937743195
Draven,MIDDLE,2,2,100.0
Draven,TOP,7,3,42.857142857142854
Ekko,JUNGLE,50,21,42.0
Ekko,MIDDLE,30,14,46.666666666666664
Ekko,TOP,22,14,63.63636363636363
Ekko,UTILITY,2,1,50.0
Elise,BOTTOM,1,0,0.0
Elise,JUNGLE,197,107,54.314720812182735
Elise,TOP,1,1,100.0
Elise,UTILITY,10,7,70.0
Evelynn,JUNGLE,30,15,50.0
Ezreal,BOTTOM,498,239,47.99196787148594
Ezreal,MIDDLE,7,5,71.42857142857143
Ezreal,TOP,2,1,50.0
Fiddlesticks,JUNGLE,19,10,52.63157894736842
Fiddlesticks,MIDDLE,1,0,0.0
Fiddlesticks,TOP,42,26,61.904761904761905
Fiddlesticks,UTILITY,3,1,33.33333333333333
